"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"1:48:23","Samuel's Furniture",471,"Jeff Kolka / Nick Bauer","/","Masters",1
"2",2,"1:48:28","Barron Heating",28,"Brad Baurer / Ray Trudgeon","/","Competitive Open",1
"3",3,"1:50:20","BAGELRY",18,"Glenn Bond / Bob Woodman","/","Competitive Open",2
"4",4,"1:50:49","Boss Construction 4 Western Football II",58,"Steven Corlew / Tinh Vu","/","Competitive Open",3
"5",5,"1:51:32","clippercanoes.com",16,"Ron Williams / Harry James","/","Competitive Open",4
"6",6,"1:51:36","Banditos Burritos",185,"Eric Gerstl / Randy Olson","/","Whatcom County Open",1
"7",7,"1:51:37","XCEL WETSUITS",45,"Josh Henderson / Gord Wallace","/","Competitive Open",5
"8",8,"1:51:58","RunningShoes.com",186,"Michael Lee / Peter Scherrer","/","Whatcom County Open",2
"9",9,"1:53:00","BEAVERS TREE SERVICE",136,"Brian Boatman / David Williams","/","Whatcom County Open",3
"10",10,"1:53:08","Pape Rents",468,"morris arthur / brad clements","/","Masters",2
"11",11,"1:53:13","Bank of the Pacific",489,"Dan Cantrell / Thom Prichard","/","Veterans",1
"12",12,"1:53:37","MRSAnaries",12,"Tom Wier / Eric Mickelson","/","Competitive Open",6
"13",13,"1:54:04","Nomad Technologies",51,"Will Schmautz / Ben Schmidt","/","Competitive Open",7
"14",14,"1:54:15","Boss Construction 4 Western Football",57,"Blaine Toni / Trevor Robinson","/","Competitive Open",8
"15",15,"1:54:24","Two Cubed To Finish",19,"Liam Price / Edoh Amiran","/","Competitive Open",9
"16",16,"1:55:18","POS-X",42,"Gabe Puttrese / Dan Moseley","/","Competitive Open",10
"17",17,"1:55:21","Mt. Baker Ski Area Veterans",494,"Duncan Howat / Gail Howat","/","Veterans",2
"18",18,"1:57:17","The Fish Heads",567,"Mike Edwards / Jared Parker","/","Corporate",1
"19",19,"1:57:23","BOUNDARY BAY BREWERY",74,"Debbie Chadwick / Deighen Blakely","/","Competitive Women",1
"20",20,"1:58:10","Chicks Josh Knows",70,"Helen Currey / Kim MacKenzie","/","Competitive Women",2
"21",21,"1:58:50","Win or Die",490,"Dwight Phillips / Dee Walker","/","Veterans",3
"22",22,"1:59:09","Kulshan Cycles",127,"Veronica Wisniewski / Char Waller","/","Whatcom County Women",1
