"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"0:39:05","Epic Kayaks",350,"Greg Barton","Male","Competitive Open",1
"2",2,"0:40:52","Boomer's Drive-In",15,"Nicholas Cryder","Male","Competitive Open",2
"3",3,"0:41:28","Inn at Lynden",88,"Jamie Klein","Male","Whatcom County Open",1
"4",4,"0:41:35","Megababes",332,"Kevin Olney","Male","Competitive Open",3
"5",5,"0:41:39","Boomer's Drive-In Veterans",14,"Wes Hammer","Male","Veterans",1
"6",6,"0:41:41","BEAVERS TREE SERVICE",1,"Brandon Nelson","Male","Whatcom County Open",2
"7",7,"0:43:13","Jack's Bicycle Center Queens of Dirt",81,"Sally Wallick","Female","Competitive Women",1
"8",8,"0:43:30","Team Audi",188,"Steve Scoggins","Male","Competitive Open",4
"9",9,"0:43:45","COLDWELL BANKER BAIN",353,"Erik Wermus","Male","Competitive Open",5
"10",10,"0:43:47","Schmidt Orthodontics Greatest American Heroes",163,"Tom Swetish","Male","Masters",1
"11",11,"0:43:57","Baker Boys",279,"Jonas Ecker","Male","High School",1
"12",12,"0:44:10","Brandon Nelson Partners",168,"Heather Nelson","Female","Whatcom County Women",1
"13",12,"0:44:10","Nooksackulous",40,"Josh Dyck","Male","Competitive Open",6
"14",14,"0:45:25","Bad Nuggets",330,"Kyle Field","Male","High School",2
"15",15,"0:45:47","7 plus 1 Wonders of the World",311,"Ana Swetish","Female","High School",3
"16",15,"0:45:47","CorePhysio",224,"Elena Wolgamot","Female","Whatcom County Women",2
"17",17,"0:46:16","Faithlife",226,"Nick Kelly","Male","Corporate",1
"18",18,"0:46:36","Bank of the Pacific",2,"Marc Whitlock","Male","Competitive Open",7
"19",19,"0:46:47","Wild Rumpus",99,"Eric Grossman","Male","Competitive Mixed",1
"20",20,"0:46:49","Ragnarok 2.0",277,"Wilson Reavley","Male","Whatcom County Open",3
"21",21,"0:46:52","Darwin's Bulldogs",273,"michael medler","Male","Masters",2
"22",22,"0:46:56","Peoples Bank",199,"Dean Bumstead","Male","Veterans",2
"23",23,"0:47:05","The Unorthodocs",16,"Reivers Dustin","Male","Competitive Open",8
"24",24,"0:47:24","Mount Baker Ravens",278,"Larry Bussinger","Male","Veterans",3
