"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"0:18:15","Boss Construction",74,"Ivan Babikov",NA,"Competitive Open",1
"2",2,"0:18:39","Sportsman Chalet",60,"Brian Gregg",NA,"Competitive Open",2
"3",3,"0:19:21","TEAM ISLAGIATT",3,"Eric Bjornsen",NA,"Competitive Open",3
"4",4,"0:19:27","Boomer's Drive-In",18,"Martin Rosvall",NA,"Competitive Open",4
"5",5,"0:19:44","clippercanoes.com",1,"Dan Roycroft",NA,"Competitive Open",5
"6",6,"0:19:56","Barron Heating",35,"Torin Koos",NA,"Competitive Open",6
"7",7,"0:19:58","Boss Construction 4 Western Football",75,"Josh Smullin",NA,"Competitive Open",7
"8",8,"0:20:15","Boss Construction, MASTERS",471,"Kent Murdoch",NA,"Masters",1
"9",9,"0:20:46","POS-X",50,"Sam Naney",NA,"Competitive Open",8
"10",10,"0:21:00","BAGELRY",27,"Jed Hinkley",NA,"Competitive Open",9
"11",11,"0:22:18","Dr. Hogan's Heroes",61,"Sarah Konrad",NA,"Competitive Open",10
"12",12,"0:22:22","Win or Die",494,"David Christopherson",NA,"Veterans",1
"13",13,"0:22:25","BOUNDARY BAY BREWERY",39,"Dasha Gaiazova",NA,"Competitive Women",1
"14",14,"0:22:31","@tdcurran",475,"Rune Harkestad",NA,"Masters",2
"15",15,"0:22:49","Frank and Lola",53,"Joshua Korn",NA,"Competitive Open",11
"16",16,"0:22:51","Bank of the Pacific",488,"Olav Stana",NA,"Veterans",2
"17",17,"0:23:00","Nomad GCS",73,"Karl Hochtl",NA,"Competitive Open",12
"18",18,"0:23:19","BEAVERS TREE SERVICE",128,"Jacob Hartsoch",NA,"Whatcom County Open",1
"19",19,"0:23:26","Pape Rents/Bobcat West",470,"Vesa Suomalainen",NA,"Masters",3
"20",20,"0:24:03","Questionable Motives",28,"Inge Scheve",NA,"Competitive Open",13
"21",21,"0:24:07","RunningShoes.com",167,"Steve George",NA,"Whatcom County Open",2
"22",22,"0:24:14","MRSAnaries",2,"Mike Argue",NA,"Competitive Open",14
"23",23,"0:24:37","Made in the Methow-Mazama Store",451,"Evan Turner",NA,"High School",1
"24",24,"0:25:20","Moore Sharp Heckrodts On the Way",511,"Luke Heckrodt",NA,"Family",1
"25",25,"0:25:39","Self Serve",214,"Chad Gregg",NA,"Recreational Open",1
"26",26,"0:25:42","Chisels of Fury",125,"Chad Honsinger",NA,"Whatcom County Open",3
"27",27,"0:25:50","Viking Football Alumns For Bring Back WWU Football",312,"Kristina Owen",NA,"Recreational Open",2
"28",28,"0:25:54","RAM / WATTS",340,"Bruce Christopherson",NA,"Recreational Open",3
"29",29,"0:26:15","Northwest Chiropractic, PS",489,"Steve Hindman",NA,"Veterans",3
"30",30,"0:26:33","CrossFit X",123,"Dan Froula",NA,"Whatcom County Mixed",1
"31",31,"0:26:36","HOMECRAFTERS NORTHWEST",166,"Vern Latta",NA,"Whatcom County Open",4
"32",32,"0:27:16","The Monkey Wrench Gang",20,"Hugh Klinedinst",NA,"Competitive Open",15
"33",33,"0:28:17","John Robinett Episode 2",444,"greg levitsky",NA,"Recreational Open",4
"34",34,"0:28:20","OOO-UM-GOW-AH",49,"Gil Lund",NA,"Competitive Open",16
"35",35,"0:28:25","My Ski to Sea Team",493,"Matthew Eichenberger",NA,"Veterans",4
"36",36,"0:28:30","Team Janicki",549,"Will Whiton",NA,"Corporate",1
"37",37,"0:28:38","Tetris Cops",46,"Nicholas Roehner",NA,"Competitive Open",17
"38",38,"0:28:44","Nooksackulous",76,"Ryan Larson",NA,"Competitive Open",18
"39",39,"0:28:55","Bare-On Heating",52,"Kyle Nagle",NA,"Competitive Open",19
"40",40,"0:29:06","Tinky Winky and his Gang of Pain",21,"Chris Queitzsch",NA,"Competitive Open",20
