"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"0:39:24","Aeromech / Sensible.Technology",268,"Shawn Mitchell","Male","Competitive Open",1
"2",2,"0:39:43","InHealth Seattle",37,"Ian Gerrish","Male","Competitive Open",2
"3",3,"0:40:14","Bank Of The Pacific",285,"Jake MacArthur","Male","Competitive Open",3
"4",4,"0:40:39","BEAVERS TREE SERVICE",232,"Brian Ecker","Male","Whatcom County Open",1
"5",5,"0:40:46","Archer Ale House",227,"Doug Graver","Male","Masters",1
"6",6,"0:41:27","Boundary Bay Brewery MEN'S",242,"Kevin Calhoun","Male","Competitive Open",4
"7",7,"0:41:44","Mt. Baker Ski Patrol",337,"Jeremy Stafford","Male","Corporate",1
"8",8,"0:41:45","Boomer's Drive-In",121,"Daniel Hertel","Male","Competitive Open",5
"9",9,"0:42:00","VanDammage",295,"Kirk Turner","Male","Competitive Open",6
"10",9,"0:42:00","Inn at Lynden",132,"Tom Schafer","Male","Whatcom County Open",2
"11",11,"0:42:09","Bellingham Firefighters",22,"Matt Davis","Male","Corporate",2
"12",12,"0:42:16","Brooks Manufacturing Co.",23,"Jonathan Ralston","Male","Competitive Open",7
"13",13,"0:42:39","Klicks Running & Walking",185,"David O'Brien","Male","Whatcom County Open",3
"14",14,"0:43:15","Wreckers",238,"James Beieler","Male","Whatcom County Open",4
"15",15,"0:43:21","InHealth Veterans",117,"Ryan Denney","Male","Veterans",1
"16",16,"0:43:22","www.okanagantrestlestour.com",148,"Duncan McBean","Male","Competitive Open",8
"17",17,"0:43:25","Prince George Express",3,"Mike Smith","Male","Competitive Open",9
"18",18,"0:43:41","Sound Source",174,"Josh Parrish","Male","Recreational Open",1
"19",19,"0:43:44","Eradicators",133,"Randy Manion","Male","Competitive Mixed",1
"20",20,"0:43:45","Wanderlust Olympia",56,"Jonas Bakkane","Male","Recreational Open",2
"21",21,"0:43:50","Polish Force NorthWest",156,"Erik Olson","Male","Competitive Open",10
"22",22,"0:43:53","Boomer's Drive-In Mixed",122,"Calvin Collander","Male","Competitive Mixed",2
"23",23,"0:43:55","Kulshan Cycles",195,"Elizabeth Hartsoch","Female","Whatcom County Women",1
"24",24,"0:43:57","Bank of The Pacific",46,"Mathew Seguin","Male","Competitive Open",11
"25",25,"0:44:08","Winers and Whiners",33,"Don Larsen","Male","Recreational Open",3
"26",26,"0:44:10","B'hams Bodacious Beerbellies",189,"Charles Ganske","Male","Competitive Open",12
"27",27,"0:44:29","Emmanuel Endurance",328,"Jeremy Lemcke","Male","Recreational Open",4
"28",28,"0:44:32","Monkeywrench Gang",6,"Tim Berntson","Male","Competitive Open",13
"29",29,"0:44:36","Advanced Sports Chiropractic",245,"Tom Fryer","Male","Recreational Open",5
"30",30,"0:45:03","Fletcher's Friends",47,"Magnus Collander","Male","Whatcom County Open",5
"31",31,"0:45:07","Aven Construction",257,"John Clark","Male","Whatcom County Mixed",1
"32",32,"0:45:11","#calmerthanyouare",259,"Pete Stelling","Male","Competitive Mixed",3
"33",33,"0:45:12","The Greatest American Heroes",81,"Tim Ross","Male","Recreational Open",6
"34",34,"0:45:16","Watts The Hurry",284,"Buff Hopper","Male","Recreational Open",7
"35",35,"0:45:20","City Haul",250,"Ted Carlson","Male","Competitive Open",14
"36",36,"0:45:22","Peoples Bank",183,"Jeffery McConaughy","Male","Veterans",2
"37",37,"0:45:29","Upski",265,"Kyle Stanton-Wyman","Male","Recreational Open",8
"38",38,"0:46:00","Jack's Bicycle Center",18,"Kristen Kelsey","Female","Competitive Women",1
"39",39,"0:46:08","BTRC Trail Babes",151,"Lane Cromelin","Male","Competitive Open",15
"40",40,"0:46:16","Kevin LaFleur Memorial Team",288,"Forrest Longman","Male","Competitive Open",16
"41",40,"0:46:16","RAM Construction",190,"Jonathan Koncz","Male","Competitive Open",16
"42",42,"0:46:31","Peoples Bank WHJ",184,"John Coleman","Male","Veterans",3
"43",43,"0:46:37","Okanagan Express",21,"Chris Neenan","Male","Masters",2
"44",44,"0:46:38","Gumby's Revenge (SFH)",334,"Jay Rutherford","Male","Recreational Open",9
"45",45,"0:46:40","Merica",330,"Erik Carlson","Male","Recreational Open",10
"46",46,"0:46:46","CorePhysio",215,"Nicole Connor","Female","Whatcom County Women",2
"47",47,"0:47:05","Ludicrous Speed",35,"Jeffrey Sloat","Male","Recreational Open",11
"48",48,"0:47:08","Kicked In The Nooksack",172,"Dave Bishop","Male","Whatcom County Open",6
"49",49,"0:47:13","Nooksackulous p/b Utivity.com",31,"Jack Arata","Male","Competitive Open",18
"50",50,"0:47:23","The Barelies",290,"Mario Rivas","Male","Recreational Open",12
"51",51,"0:47:24","Fairhaven Runners",350,"Andrew Wise","Male","Whatcom County Open",7
"52",52,"0:47:29","Birch Bay Dermatology",25,"Jeff Haley","Male","Recreational Open",13
"53",53,"0:47:30","Hot Apple Pirates",77,"Aaron Hagenbuch","Male","Corporate",3
"54",54,"0:47:41","C.H.E.A.A.A.A.A.",150,"Kevin Quillan","Male","Recreational Open",14
"55",55,"0:47:43","Made in the Methow - Mazama Store",263,"Eli Nielsen","Male","High School",1
"56",56,"0:48:10","BC Skri to Sea",76,"IAN MCGILLIVRAY","Male","Recreational Mixed",1
"57",56,"0:48:10","All Outa Steam",233,"Nick Carlson","Male","Corporate",4
"58",58,"0:48:12","Allegiant Air",323,"Joel Wolcoski","Male","Corporate",5
"59",59,"0:48:13","Half Fast",240,"Todd KAram","Male","Competitive Open",19
"60",60,"0:48:14","Mt. Baker Ski Area",336,"Lynn Bell","Male","Competitive Open",20
"61",61,"0:48:26","Where's Marv?",216,"Scott Johnson","Male","Recreational Open",15
"62",62,"0:48:33","REsources REseize the Day (aka Car Pay Die'm)",319,"David Hooper","Male","Car-Free",1
"63",63,"0:48:36","Old Stags and Young Bucks",9,"James Thompson","Male","Recreational Open",16
"64",64,"0:48:42","Chooching Train",252,"Daniel Benowitz","Male","Whatcom County Open",8
"65",64,"0:48:42","Boundary Bay Brewery WOMEN's",243,"Eszter Horanyi","Female","Competitive Women",2
"66",66,"0:48:50","Where's My Free Car?",180,"Cooper Jackson","Male","Car-Free",2
"67",67,"0:48:56","Z*L*U*G*G*U*L*S",277,"Christin Clawson","Female","Car-Free",3
"68",68,"0:49:02","I8sumpi",320,"Trevor Harrison","Male","Recreational Mixed",2
"69",69,"0:49:15","Desolation Angels",86,"Clint Henaley","Male","Competitive Open",21
"70",70,"0:49:16","Surfrider",329,"Ian Sloan","Male","Car-Free",4
"71",71,"0:49:24","Darwin's Bulldogs",272,"Andy Bunn","Male","Masters",3
"72",72,"0:49:32","Tagalongs",55,"Pasi Virta","Male","Recreational Open",17
"73",73,"0:49:35","Turn Down for Whatcom",111,"Nicholas Beyer","Male","Recreational Mixed",3
"74",74,"0:49:56","Amatuer Hour",346,"Zach Gillis","Male","Recreational Open",18
"75",75,"0:50:09","Team Jake",339,"Joey Christainson","Male","Recreational Open",19
"76",76,"0:50:35","Exxel Pacific",11,"Matt VanderVeen","Male","Corporate",6
"77",77,"0:50:42","Last Of The Brohicans",239,"Eric Dahlgren","Male","Recreational Open",20
"78",78,"0:50:43","Big Al's Sausage Brigade",158,"John Fullmer","Male","Recreational Open",21
"79",78,"0:50:43","Higher Plane Cabinets",49,"Ryan Pflueger","Male","Competitive Open",22
"80",78,"0:50:43","All the Spirit Animals",127,"Campbell Diebolt","Male","Recreational Mixed",4
"81",81,"0:50:47","Aunt Janies Road Trip",244,"Peter Rankin","Male","Family",1
"82",82,"0:50:51","Stupendous Men",266,"Noah Jackson","Male","Competitive Open",23
"83",83,"0:50:56","There's Gotta Be a Better Way",208,"Seth Bedwell","Male","Corporate",7
"84",84,"0:51:05","Cascade Designs",64,"Tyler Salvage","Male","Corporate",8
"85",85,"0:51:07","Moreno Dental",80,"Derek Smith","Male","Whatcom County Open",9
"86",86,"0:51:09","Chuckanut Brewery",40,"Mikael Virta","Male","Competitive Open",24
"87",87,"0:51:14","Floundering Salmon",316,"Victor Yagi","Male","Competitive Open",25
"88",87,"0:51:14","Skit Macka",45,"Curtis Crape","Male","Recreational Open",22
"89",89,"0:51:19","Cordata Dental",270,"Andrew Ross","Male","Family",2
"90",89,"0:51:19","Kulshan CrossFit",347,"Bill McEnaney","Male","Whatcom County Mixed",2
"91",91,"0:51:33","Must Finish Alive",165,"Erik Naylor","Male","Competitive Mixed",4
"92",92,"0:51:38","Zombie Puffins",27,"Jess Smith","Female","Competitive Mixed",5
