"","Leg Place","Elapsed Time","Team Name","Racer Name","Gender","Category","Div Place"
"1",1,"0:26:15","R.B. Wick's Warriors","Gabe Newton","","Competitive Open",1
"2",2,"0:26:45","Barron Heating","Zsolt Szadovszki","","Competitive Open",2
"3",3,"0:27:11","MRSAnaries","david jacobson","","Whatcom County Open",1
"4",4,"0:27:42","Team Aeromech","Eric Moll","","Competitive Open",3
"5",5,"0:27:55","R.B. Wick's Golden Boys","Kirk Christensen","","Veterans",1
"6",6,"0:28:04","Still Looking For A Sponsor","Shane Martin","","Competitive Open",4
"7",7,"0:28:05","Win Or Die","Donald Kiesling","","Veterans",2
"8",8,"0:28:15","BEAVERS TREE SERVICE","Brandon Nelson","","Whatcom County Open",2
"9",9,"0:28:28","Must Beat Ash","Ken Stanick","","Competitive Open",5
"10",10,"0:28:41","Nooksackulous","Dylan Thomas","","Competitive Open",6
"11",11,"0:29:04","Barron Heating Legends","Erik Borgnes","","Masters",1
"12",12,"0:29:18","Team RE/MAX to the Max!","Jan Malherbe","","Competitive Open",7
"13",13,"0:29:39","Steves' ""B"" Team","Jeff Hilburn","","Competitive Open",8
"14",14,"0:29:59","R.B. Wick's Masters Gentlemen","Erik Wermus","","Masters",2
"15",15,"0:30:08","Unorthodocs","Jim Nosella","","Recreational Open",1
"16",16,"0:30:15","Klicks Running & Walking","Peter Marcus","","Whatcom County Open",3
"17",17,"0:30:26","Peak 7 - Need for Speed","Ryan Saunders","","Recreational Open",2
"18",18,"0:30:39","Nitropaced","Shaun Sullivan","","Competitive Open",9
"19",19,"0:30:42","SUPERfeet","Dan Wakeland","","Corporate",1
"20",20,"0:30:53","Bank of the Pacific","Dean Bumstead","","Veterans",3
"21",21,"0:30:57","R.B. Wick's Local Warriors","Eric Grossman","","Whatcom County Open",4
"22",22,"0:31:04","BOUNDARY BAY BREWERY","Tracy Landboe","","Competitive Women",1
"23",23,"0:31:07","Made in the Methow-Mazama Store","Eric Roux","","High School",1
"24",24,"0:31:13","Jon Greers Stupid Face","Michael Dee","","Competitive Open",10
"25",25,"0:31:24","Flying Powder Monkeys","Paul Clement","","Competitive Open",11
"26",26,"0:31:35","Toplinx One","Jeff Hegedus","","Veterans",4
"27",27,"0:31:37","Whatcoms around goes around","Abe Lloyd","","Recreational Open",3
"28",28,"0:31:48","Creative Mom Toys","Steve Jones","","Competitive Open",12
"29",29,"0:31:49","Coal train derailers","Rick Nu`u","","Competitive Mixed",1
"30",30,"0:31:53","Mt Baker Veterans","Larry Goolsby","","Competitive Open",13
"31",31,"0:31:56","InHealth","Larry Bussinger","","Veterans",5
"32",32,"0:32:06","Clavicle3 Racing","john george","","Masters",3
