"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"0:27:19","Boundary Bay Brewery MEN'S",242,"Russell Stevenson","Male","Competitive Open",1
"2",2,"0:28:27","InHealth Seattle",37,"Gian Dalle","Male","Competitive Open",2
"3",3,"0:28:33","Aeromech / Sensible.Technology",268,"Nolan Brady","Male","Competitive Open",3
"4",4,"0:28:35","Klicks Running & Walking",185,"Logan Wetzel","Male","Whatcom County Open",1
"5",5,"0:29:29","Boomer's Drive-In",121,"Stephen Dempsey","Male","Competitive Open",4
"6",6,"0:29:36","BEAVERS TREE SERVICE",232,"Ben Shaklee","Male","Whatcom County Open",2
"7",7,"0:29:43","Prince George Express",3,"Stefan Widmer","Male","Competitive Open",5
"8",8,"0:29:58","Monkeywrench Gang",6,"Jeff Ellis","Male","Competitive Open",6
"9",9,"0:30:55","The Unorthodocs",41,"Matthew Studley","Male","Recreational Open",1
"10",10,"0:30:56","Fairhaven Runners",350,"Devon Wright","Male","Whatcom County Open",3
"11",11,"0:31:02","VanDammage",295,"Darrin Seeds","Male","Competitive Open",7
"12",12,"0:31:21","nightmare sandwich",306,"Christopher Samuels","Male","Whatcom County Open",4
"13",13,"0:31:39","Archer Ale House",227,"Jeff Cummings","Male","Masters",1
"14",14,"0:31:47","Mt. Baker Ski Patrol",337,"Jon Ross","Male","Corporate",1
"15",15,"0:31:56","Moreno Dental",80,"Mark Allison","Male","Whatcom County Open",5
"16",16,"0:32:02","B'hams Bodacious Beerbellies",189,"tucker thomas","Male","Competitive Open",8
"17",17,"0:32:06","Brooks Manufacturing Co.",23,"Doug Nathe","Male","Competitive Open",9
"18",18,"0:32:13","Moose on the Loose",71,"Eric Olsen","Male","High School",1
"19",19,"0:32:20","Fairhaven Bicycle",160,"Kevin Wheeler","Male","Whatcom County Open",6
"20",20,"0:33:08","Upski",265,"Harrison Gill","Male","Recreational Open",2
"21",21,"0:33:12","Aven Construction",257,"Scott Young","Male","Whatcom County Mixed",1
"22",22,"0:33:20","Polish Force NorthWest",156,"Ken Harmon","Male","Competitive Open",10
"23",23,"0:33:31","Half Fast",240,"Richard McClung","Male","Competitive Open",11
"24",24,"0:33:43","The Greatest American Heroes",81,"Martin Ayling","Male","Recreational Open",3
"25",25,"0:34:00","Two Cubed To Finish",42,"Colin Ferguson","Male","Competitive Open",12
"26",26,"0:34:02","RAM Construction",190,"Bryan Frazier","Male","Competitive Open",13
"27",27,"0:34:06","Emmanuel Endurance",328,"Erik DeRoche","Male","Recreational Open",4
"28",28,"0:34:13","Boundary Bay Brewery WOMEN's",243,"Nadine Mueller","Female","Competitive Women",1
"29",29,"0:34:15","Nooksackulous p/b Utivity.com",31,"Ryan Larson","Male","Competitive Open",14
"30",30,"0:34:23","S*L*U*G*G*U*L*Z",276,"Jacob Stewart","Male","Car-Free",1
"31",31,"0:34:32","Speed Humps Ahead",307,"andy wyatt","Male","Recreational Mixed",1
"32",32,"0:34:33","Kevin LaFleur Memorial Team",288,"Kevin Terpstra","Male","Competitive Open",15
"33",33,"0:34:36","Inn at Lynden",132,"Michael Merrick","Male","Whatcom County Open",7
"34",34,"0:34:39","Zombie Llamas",88,"","","Recreational Open",5
"35",34,"0:34:39","Mr. Cauchy and Crew",66,"Elliot Banko","Male","Recreational Mixed",2
"36",36,"0:34:42","Big Al's Sausage Brigade",158,"Sean LaHusen","Male","Recreational Open",6
"37",37,"0:35:01","Team Bramble Berry Inc!",230,"Kristian Duft","Male","Recreational Open",7
"38",37,"0:35:01","Kids on [Lactic] Acid",204,"Shawn Connolly","Male","Competitive Open",16
"39",39,"0:35:02","Bellingham Firefighters",22,"Mark Brennan","Male","Corporate",2
"40",40,"0:35:05","Team Jake",339,"Stephen Magnuson","Male","Recreational Open",8
"41",41,"0:35:07","Neiner Neiner Weiner",248,"David Fleischhauer","Female","Competitive Open",17
"42",42,"0:35:12","ERM Community Heroes",83,"Brian Barry","Male","Recreational Mixed",3
"43",43,"0:35:21","Kicked In The Nooksack",172,"Steven Noble","Male","Whatcom County Open",8
"44",44,"0:35:30","Merica",330,"Ian Horton","Male","Recreational Open",9
"45",45,"0:35:33","Saw Kaw",144,"Kyle Thackray","Male","Recreational Open",10
"46",46,"0:35:38","Gumby's Revenge (SFH)",334,"Claire Frost","Female","Recreational Open",11
"47",47,"0:35:39","CorePhysio",215,"Sarah Butsch","Female","Whatcom County Women",1
"48",48,"0:35:40","Advanced Sports Chiropractic",245,"Robert Curtis","Male","Recreational Open",12
"49",49,"0:35:41","Six Lawyers and Two Useful People",139,"Stephanie White","Female","Recreational Mixed",4
"50",49,"0:35:41","Jack's Bicycle Center",18,"Kirsten Jensen","Female","Competitive Women",2
"51",51,"0:35:46","First Congregational Calorie Burners",178,"Nathaniel Allen-Slaba","Male","Recreational Open",13
"52",52,"0:35:51","Bubbles Dope Kitties",52,"Rocky White","Male","Recreational Open",14
"53",53,"0:35:53","Bank of The Pacific",46,"Todd Cowles","Male","Competitive Open",18
"54",54,"0:35:56","All Spawned Out and Headed For the Bay",30,"Hans Wolfisberg","Male","Competitive Open",19
"55",55,"0:35:58","www.okanagantrestlestour.com",148,"Ralph Weiche","Male","Competitive Open",20
"56",55,"0:35:58","Darwin's Bulldogs",272,"dave rossiter","Male","Masters",2
"57",57,"0:35:59","Higher Plane Cabinets",49,"Justin Dudley","Male","Competitive Open",21
"58",58,"0:36:01","Bank Of The Pacific",285,"Connor Barrows","Male","Competitive Open",22
"59",58,"0:36:01","Zoope-a-Zoope Troupe",168,"Andrew Wiley","Male","Recreational Mixed",5
"60",60,"0:36:03","Fletcher's Friends",47,"CHRIS STACEY","Male","Whatcom County Open",9
"61",61,"0:36:04","Peoples Bank Team 2",149,"Andrew Wright","Male","Recreational Open",15
"62",62,"0:36:10","BartBattle",305,"Micah Bartlett","Male","Family",1
"63",63,"0:36:11","RuBBer BaBy BuGGy BumPers!",342,"Derek Bronson","Male","Whatcom County Open",10
"64",64,"0:36:15","Hard Core",207,"Daniel Milner","Male","Whatcom County Mixed",2
"65",64,"0:36:15","Okanagan Express",21,"Colin Buckingham","Male","Masters",3
"66",66,"0:36:17","Made in the Methow - Mazama Store",263,"Bram Wathen","Male","High School",2
"67",67,"0:36:23","We Have Notes From Our Parents",214,"Delilah Cupp","Female","High School",3
"68",68,"0:36:29","Chooching Train",252,"Terry Lewis","Male","Whatcom County Open",11
"69",69,"0:36:32","Mt. Baker Ski Area",336,"Jason King","Male","Competitive Open",23
"70",69,"0:36:32","Last Of The Brohicans",239,"Alex Frank","Male","Recreational Open",16
"71",69,"0:36:32","Flotsam",89,"Phillip Ortego","Male","Recreational Open",16
"72",72,"0:36:35","BestoftheNW.org",205,"Eric Moldver","Male","Competitive Open",24
"73",73,"0:36:39","OK, THIS IS THE LAST TIME!!",322,"Bryan Beatty","Male","Competitive Open",25
"74",74,"0:36:40","Off Constantly",258,"Dasha Dupree","Male","Recreational Mixed",6
"75",75,"0:36:44","Pedal Party NW",294,"Stuart Giesecke","Male","Recreational Open",18
"76",76,"0:36:45","Stoked Spokes",125,"Ryan Murphy","Male","Car-Free",2
"77",77,"0:36:47","Ping Pong Club",67,"John Soden","Male","Whatcom County Open",12
"78",78,"0:36:48","#calmerthanyouare",259,"Colin Amos","Male","Competitive Mixed",1
"79",79,"0:36:49","8 Drunken Pirates and an adjunct Harle",211,"Todd Paglia","Male","Masters",4
"80",80,"0:36:54","Hot Apple Pirates",77,"David Hagenbuch","Male","Corporate",3
"81",81,"0:36:55","The Wetboyz of Aslan Brew",82,"Troy Petersen","Male","Car-Free",3
"82",82,"0:37:00","Chuckanut Brewery",40,"Markus Virta","Male","Competitive Open",26
"83",83,"0:37:03","Eclectica",65,"Chip Richardson","Male","Recreational Open",19
"84",84,"0:37:04","Allegiant Air",323,"Clint Lund","Male","Corporate",4
"85",85,"0:37:05","I8sumpi",320,"Benjamin Strom","Male","Recreational Mixed",7
"86",86,"0:37:15","Everett Firefighters",279,"Richard Smith","Male","Corporate",5
"87",86,"0:37:15","Banana Hammocks",110,"Ryan Roberts","Male","Competitive Open",27
"88",88,"0:37:16","The Fighting Snails of Snowline 2",96,"Scott Healey","Male","Recreational Mixed",8
"89",89,"0:37:22","Kulshan Cycles",195,"Kayla Kaiser","Female","Whatcom County Women",2
"90",89,"0:37:22","Checkmate Pawn Loaners",282,"Joseph Adams","Male","Recreational Open",20
"91",91,"0:37:26","Jedi Ponies",188,"craig stephens","Male","Car-Free",4
"92",92,"0:37:30","Surviving the Elements",311,"Jason Kammer","Male","Competitive Open",28
"93",93,"0:37:36","Cascade Bicycle Club",260,"Josh Miller","Male","Car-Free",5
"94",94,"0:37:38","Itek Energy",147,"Miguel Thomas","Male","Corporate",6
"95",95,"0:37:43","Undead Alpacas",145,"Jacob Young","Male","Recreational Mixed",9
"96",96,"0:37:44","The Barelies",290,"Doss Herndon-Schepper","Male","Recreational Open",21
"97",97,"0:37:45","Birch Bay Dermatology",25,"Kevin Harrison","Male","Recreational Open",22
"98",98,"0:37:50","Pflueger Inc.",63,"Andy Mennella","Male","Recreational Open",23
"99",98,"0:37:50","REsources REseize the Day (aka Car Pay Die'm)",319,"Alan Arnett","Male","Car-Free",6
"100",100,"0:37:51","Oli's Angels",218,"John Turk","Male","Recreational Mixed",10
"101",100,"0:37:51","Bottom of the Barrel",119,"Alex Dobrinen","Male","Corporate",7
"102",102,"0:37:55","Pen Island Thrusters 2",321,"Dana Hickenbottom","Male","Whatcom County Open",13
"103",102,"0:37:55","Mighty Morphin Power Racers",138,"Riley Clark","Male","Recreational Open",24
"104",104,"0:37:59","Kulshan Brewing Company",166,"Joshua Corliss","Male","Recreational Mixed",11
"105",105,"0:38:03","MasterBakers",92,"Chris Weight","Male","Recreational Open",25
"106",106,"0:38:08","Safety Third",169,"Fred Wiley","Male","Recreational Mixed",12
"107",106,"0:38:08","Erin Baker's",115,"Amy Richards","Female","Recreational Women",1
"108",108,"0:38:09","Stupendous Men",266,"Tommy Lingbloom","Male","Competitive Open",29
"109",109,"0:38:14","Praying For A Miracle",50,"chris pippard","Male","Recreational Open",26
"110",110,"0:38:20","BC Skri to Sea",76,"Ann Lanari","Female","Recreational Mixed",13
