"","Overall Place","Elapsed Time","Team Name","Team #","Category","Last Finish","Div Place","Team Members"
"1",1,"6:22:28","BEAVERS TREE SERVICE",181,"Whatcom County Open","Kayak",1,"Ben Shaklee, David Larpenteur, Brent Molsberry, Brian Ecker, Brandon Nelson, Jacob Hartsoch, Brian Boatman, Michael Lee,"
"2",2,"6:22:32","Sensible.Technology",232,"Masters","Kayak",1,"Aaron Berntson, Walter Brown, Michael Hagen, Todd Gallaher, Gareth Tudor-Jones, Kent Murdoch, Brad Bauer, Nicholas Bauer,"
"3",3,"6:39:10","Boomer's Drive-In",171,"Competitive Open","Kayak",1,"Michael Finley, Juan Castillo, Mike Gifford, steve dempsey, Austin Kieffer, Chad Gregg, Ron Williams, Norman MacDonell,"
"4",4,"6:43:48","Inn at Lynden",244,"Whatcom County Open","Kayak",2,"David Neubeck, Benjamin Scherrer, Mike Merrick, Tom Schafer, Jamie Klein, Justin May, Eric Paige, Matt Treat,"
"5",5,"6:47:45","Northwest Behavioral Health",82,"Competitive Open","Kayak",2,"Nate Reiss, Casey Barten, Ralph Weiche, Duncan McBean, David Jacobson, Scott Shinneman, Bob Woodman, Glenn Bond,"
"6",6,"6:49:24","VanDammage",264,"Competitive Open","Kayak",3,"Jon Takao, Anders Mavis, Andreas Unterschuetz, Darrin Seeds, Michael Beckman, Kirk Turner, David Schlesinger, Jay Ostby,"
"7",7,"6:53:06","Aeromech",231,"Competitive Open","Kayak",4,"James Stangeland, B.J. Christenson, Max Taam, Alec Pasqualina, Mackenzie Hynard, Stian Hoelgaard, Ivan English, Mike Vincent,"
"8",8,"6:59:21","Peoples Bank",70,"Veterans","Kayak",1,"John Kodin, Mike Higgins, Mark Neff, Jeffery McConaughy, Dean Bumstead, Louis Sukovaty, Thom Prichard, Chris Cupp,"
"9",9,"6:59:29","Boundary Bay Brewery Women",275,"Competitive Women","Kayak",1,"Anne-Marije Rook, Stephanie Grimm, Sabrina Grecu, Courtenay McFadden, Tracy Landboe, Ember Large, Deb Bauer, Kari Crowe,"
"10",10,"7:00:26","Okanagan Express",229,"Masters","Kayak",2,"David Matheson, Kevin Cutjar, Colin Buckingham, Chris Neenan, Don Mulhall, David Michael, Tyson Bull, Stuart Rahkola,"
"11",11,"7:01:23","Key Bank",193,"Veterans","Kayak",2,"Jeff Reed, Nathan Minor, Kevin Rindal, Ian Gerrish, Larry Bussinger, Daryl Remmler, Dan Cantrell, Bob McBeath,"
"12",12,"7:02:38","Kulshan Cycles",102,"Whatcom County Women","Kayak",1,"Lise Grace, Courtney Olsen, Amber Morrison, Elizabeth Hartsoch, Heather Nelson, Corrine Malcolm, Veronica Wisniewski, Char Waller,"
"13",13,"7:03:50","The Unorthodocs",16,"Recreational Open","Kayak",1,"Matt Oswin, Cody Velthuizen, Scott Price, Clinton Seal, Jim Nosella, Jason Tedrow, joel hoekema, Jason Stoane,"
"14",14,"7:07:18","Mt. Baker Ski Patrol",202,"Corporate","Kayak",1,"Jeremy Stafford, Casey Schwenk, Jason Kammerer, Jon Ross, jeff davis, Emmanuel Bussani, Kevin Kaiser, Dave May,"
"15",15,"7:07:39","Archer Ale House",164,"Masters","Kayak",3,"Gregory Rehm, Allen Carbert, Jon DeWitt, Jeff Cummings, Joost Zeegers, Vern Latta, Brad Clements, Morris Arthur,"
"16",16,"7:09:53","Boomer's Drive-In Mixed",167,"Competitive Mixed","Kayak",1,"Mischa Burnett, Michael Molnar, Calvin Collander, Andi Zolton, Nicholas Cryder, Ella Hall, Catherine Trask, Fiona Vincent,"
"17",17,"7:13:53","Peacehealth-Greatest American Heroes",68,"Recreational Open","Kayak",2,"Stuart Ayling, Brent Detta, Martin Ayling, Rob Rogers, Tom Swetish, Andy Schmidt, Beau Whitehead, Carter Kiesau,"
"18",18,"7:16:35","Half Fast",255,"Competitive Open","Kayak",5,"Sid Wray, Brian Morrison, Marty Couret, Marsa Daniel, kristian tollefson, Richard McClung, joel smith, Daryl McDonald,"
"19",19,"7:19:51","Bellingham Firefighters",41,"Corporate","Kayak",2,"Willy Spaulding, jake jarvis, Brian Jones, Matt Davis, Jason Sims, Mark Brennan, Christian Carson, Brian Flannelly,"
"20",20,"7:24:15","The Monkey Wrench Gang",36,"Competitive Open","Kayak",6,"John Lackey, Austin Ruf, Chris Knudsen, Tim Berntson, Hugh Klinedinst, Jeff Ellis, Michael Meyer, Rob McCormack,"
"21",21,"7:24:44","Bank of the Pacific",8,"Competitive Open","Kayak",7,"Mathew Seguin, Ryan Sutley, Spencer Wilson, Jeffrey Early, Marc Whitlock, Tony Wiederkehr, Glen Marsh, Patrick Marsh,"
"22",22,"7:24:47","Neiner Neiner Weiner",104,"Competitive Open","Kayak",8,"Eric Cockrell, Eric Duerr, Erik Anderson, Theodore Schwartz, Mark Snyder, Aric Gaither, Todd Meldahl, Brady Gustafson,"
"23",23,"7:26:14","Brooks Manufacturing Co.",12,"Competitive Open","Kayak",9,"Rusty Dodge, Scott Gilmore, Jonathan Ralston, Doug Nathe, Meat Monger, Logan Wetzel, Eric Gorton, Patrick McBride,"
"24",24,"7:26:18","Super Babes of Anacortes Rigging",132,"Competitive Open","Kayak",10,"Ian Sloan, Ryan Stormo, Ethan Lyons, Lane Cromelin, Kevin Olney, Carl Schmitt, Michael Seiser, John All,"
"25",25,"7:28:34","Northwest Indian College Eagles",158,"Recreational Open","Kayak",3,"Cooper Rombold, Conner Johnsen, justin iwasaki, John Rombold, David Oreiro, Zach Brown, Jacob Roberts, Jeremy Roberts,"
"26",26,"7:30:06","BFF's (Barlean's Flax Fanatics)",11,"Competitive Open","Kayak",11,"Jonathan Hill, CODY BORMUTH, Sean Foster, Erik Carlson, Roger Lamb, Gwen Hryciw, Joshua Hamilton, Aaron Boje,"
"27",27,"7:32:15","Desolation Angels",154,"Competitive Open","Kayak",12,"Cody Novak, Cristopher Cable, Steve Work, Calvin Laatsch, Byron Ricks, Lindsey MacDonald, Saul Weisberg, John Horner,"
"28",28,"7:38:49","Darwin's Bulldogs",270,"Veterans","Kayak",3,"Robert Mitchell, Chad Norman, Andy Wallis, Andy Bunn, Michael Medler, Darrell Sofield, John Rybczyk, Predrag Vadjic,"
"29",29,"7:40:29","Seize the Body-Float the Day",266,"Car-Free","Kayak",1,"Charlie Heggem, Jennifer Pittis, David Hooper, Magnus Collander, Meg Kelly, Thomas Caldwell, Gib Morrow, Kurt Fuhrmeister,"
"30",30,"7:43:37","SHEroes",247,"Competitive Women","Kayak",2,"Megan Northey, Alyson Klein, Aly Howisey, Jenna Goodman, Amelia Bethke, Jenna Sim, Barb willson, daphne brockington,"
"31",31,"7:44:40","RAM CONSTRUCTION",161,"Competitive Open","Kayak",13,"Nate Burrous, Isaac Burrous, Blaine Horner, Jonathan Koncz, curtis horner, Bryan Frazier, Matthew Bautista, drew oaksford,"
"32",32,"7:47:08","Minor Threat",99,"Masters","Kayak",4,"David Schneider, Jim Ace, Roger Grummel, Todd Paglia, Rick Lingbloom, Gil Lund, Scott Paglia, James Bochsler,"
"33",33,"7:47:57","Whatcoms up must come down",187,"Recreational Mixed","Kayak",1,"David Carnahan, Emily Uhlig, Jenna Stevens, Tom Fryer, Danielle Burnett, Andrea Lubeck, Bruce Biddle, Steve Lindsey,"
"34",34,"7:48:36","Two Cubed To Finish",94,"Competitive Open","Kayak",14,"Gregory Cook, Kimihiro Noguchi, Iulian Cociug, Colin Ferguson, Arlene Wade, George Winters, Liam Price, Edoh Amiran,"
"35",35,"7:57:41","LIFE Aesthetic Center",92,"Whatcom County Open","Kayak",3,"Mark Longman, Skip Sahlin, Jason Lichtenberger, John Arbuckle, Matt Nelson, Chris Stacey, ben vodopich, Marvin Sargent,"
"36",36,"7:58:53","Chuckanut Brewery",118,"Competitive Open","Kayak",15,"tim hubner, Hannah O'Neal, Conor Long, Mikael Virta, Mike Gregory, Markus Virta, Sam Stoner, Brady Lester,"
"37",37,"7:59:18","Grub's Pain Parade",44,"Competitive Open","Kayak",16,"Jeff Nyman, Chris O'Day, Diana Yusoff, Tom Petersen, P Clement, Paul Gutzler, Tim Ahern, steve bennett,"
"38",38,"8:01:00","botnw.com Best of the NW",256,"Competitive Open","Kayak",17,"David Wheeler, Nathan Wallace, Sandro Kodama, Jeremy Fellows, Greg Gilda, Bryan Schaeffer, Andrew Kracht, Gene Hogan,"
"39",39,"8:01:31","HardCorePhysio",190,"Whatcom County Mixed","Kayak",1,"Daniel Milner, Kelsey Erickson, Mikhaila Thornton, John Clark, Gerardo Andaluz, Alison Lubeck, Michael Hammer, Joan Bachleda,"
