"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"1:56:34","Aeromech / Sensible.Technology",268,"Ivan English / Mike Vincent","Male / Male","Competitive Open",1
"2",2,"1:56:35","Boundary Bay Brewery MEN'S",242,"Greg Barton / Brad Bauer","Male / Male","Competitive Open",2
"3",3,"2:01:35","Prince George Express",3,"Greg Blackburn / Patrick Turner","Male / Male","Competitive Open",3
"4",4,"2:02:21","www.okanagantrestlestour.com",148,"Glenn Bond / bob woodman","Male / Male","Competitive Open",4
"5",5,"2:02:52","BEAVERS TREE SERVICE",232,"Brian Boatman / Michael Lee","Male / Male","Whatcom County Open",1
"6",6,"2:03:33","InHealth Seattle",37,"Shaun Koos / Jason Larsen","Male / Male","Competitive Open",5
"7",7,"2:03:35","Bank Of The Pacific",285,"Nicholas Bauer / Jim Bauer","Male / Male","Competitive Open",6
"8",8,"2:03:39","Klicks Running & Walking",185,"Eric Gerstl / Alan Lipp","Male / Male","Whatcom County Open",2
"9",9,"2:03:59","OK, THIS IS THE LAST TIME!!",322,"Chris Cupp / Harry James","Male / Male","Competitive Open",7
"10",10,"2:04:29","Okanagan Express",21,"Tyson Bull / Stuart Rahkola","Male / Male","Masters",1
"11",11,"2:04:34","Boomer's Drive-In",121,"ron williams / James Pope","Male / Male","Competitive Open",8
"12",12,"2:05:50","Inn at Lynden",132,"Eric Paige / Matt Treat","Male / Male","Whatcom County Open",3
"13",13,"2:06:00","Two Cubed To Finish",42,"Liam Price / Edoh Amiran","Male / Male","Competitive Open",9
"14",14,"2:06:05","Archer Ale House",227,"Morris Arthur / Brad Clements","Male / Male","Masters",2
"15",15,"2:06:57","Fairhaven Bicycle",160,"pete wells / Michael Hammer","Male / Male","Whatcom County Open",4
"16",16,"2:07:26","Exxel Pacific",11,"Matt Stodola / Phil Helms","Male / Male","Corporate",1
"17",17,"2:08:20","Bellingham Firefighters",22,"Christian Carson / Brian Flannelly","Male / Male","Corporate",2
"18",18,"2:09:17","Boomer's Drive-In Mixed",122,"Catherine Trask / Fiona Vincent","Female / Female","Competitive Mixed",1
"19",19,"2:10:00","Kulshan Cycles",195,"Veronica Wisniewski / Gwyn Howat","Female / Female","Whatcom County Women",1
"20",20,"2:10:01","Aven Construction",257,"Shekinah Aven / Gail Howat","Male / Male","Whatcom County Mixed",1
"21",21,"2:10:33","InHealth Veterans",117,"dan cantrell / Bob McBeath","Male / Male","Veterans",1
"22",22,"2:10:41","Polish Force NorthWest",156,"Christopher foltyn / Tom Weitz","Male / Male","Competitive Open",10
"23",23,"2:11:43","RAM Construction",190,"Matthew Bautista / Drew Oaksford","Male / Male","Competitive Open",11
"24",24,"2:12:08","VanDammage",295,"David Schlesinger / Jay Ostby","Male / Male","Competitive Open",12
"25",25,"2:12:16","Peoples Bank",183,"Thom Prichard / Joan Bachleda","Male / Male","Veterans",2
"26",26,"2:12:22","#calmerthanyouare",259,"Jackie Caplan-Auerbach / Collin Smith","Female / Female","Competitive Mixed",2
"27",27,"2:12:55","Chuckanut Brewery",40,"Sam Stoner / Brady Lester","Male / Male","Competitive Open",13
"28",28,"2:13:19","The Unorthodocs",41,"Joel Hoekema / Jason Tedrow","Male / Male","Recreational Open",1
"29",29,"2:14:13","Mt. Baker Ski Patrol",337,"Kevin Kaiser / Dave May","Male / Male","Corporate",3
"30",30,"2:14:49","Evolve",296,"Chad Calhoun / Marc Blake","Male / Male","Whatcom County Mixed",2
"31",31,"2:14:57","NWIC Eagles",107,"Jacob Roberts / Jeremy Roberts","Male / Male","Recreational Open",2
"32",32,"2:15:16","B'hams Bodacious Beerbellies",189,"Josh Hardesty / Daniel (Eddy) Goger (Avoidin)","Male / Male","Competitive Open",14
"33",33,"2:15:18","Aunt Janies Road Trip",244,"David Scherrer / Susan Bennerstrom","Male / Male","Family",1
"34",34,"2:15:51","Boundary Bay Brewery WOMEN's",243,"Carrie Montgomery / Lynn Capen","Female / Female","Competitive Women",1
"35",34,"2:15:51","Advanced Sports Chiropractic",245,"David Simeur / Dan Turner","Male / Male","Recreational Open",3
"36",36,"2:15:54","Peoples Bank WHJ",184,"Greg Fosty / Mike Baker","Male / Male","Veterans",3
"37",37,"2:16:02","All Spawned Out and Headed For the Bay",30,"Albert Siebring / Per Wolfisberg","Male / Male","Competitive Open",15
"38",38,"2:16:05","Nooksackulous p/b Utivity.com",31,"Benjamin Whiddon / Marc Schwartz","Male / Male","Competitive Open",16
"39",39,"2:16:51","Jupiter Mining Corp",129,"Gen Matsui / Murray Maitland","Male / Male","Competitive Open",17
"40",40,"2:16:54","BFF's (Barlean's Flax Fanatics)",51,"Joshua Hamilton / Aaron Boje","Male / Male","Competitive Open",18
"41",41,"2:17:50","Cordata Dental",270,"Matt Shepherd / Andy Shepherd","Male / Male","Family",2
"42",42,"2:18:04","BSCA Sister City Ambassadors",4,"Gabe Starbuck / Kyle Nelson","Male / Male","Recreational Open",4
"43",43,"2:18:37","Tight Genes",312,"keith vandergriend / Kerry VanderGriend","Male / Male","Family",3
"44",44,"2:18:54","Fanatik's Last Flash- We're over-y rated",192,"Kimberly Reeves / Michele Anderson","Female / Female","Veterans",4
"45",45,"2:18:56","Monkeywrench Gang",6,"Michael Meyer / Rob McCormack","Male / Male","Competitive Open",19
"46",46,"2:19:28","The Greatest American Heroes",81,"Rob Rogers / Carter Kiesau","Male / Male","Recreational Open",5
"47",47,"2:20:19","Faithlife",60,"Nick Kelly / Glenn Gervais","Male / Male","Corporate",4
"48",48,"2:20:49","BC Skri to Sea",76,"Tomi Johnson / Duhane Lam","Female / Female","Recreational Mixed",1
"49",49,"2:21:08","REsources REseize the Day (aka Car Pay Die'm)",319,"Gib Morrow / Kurt Fuhrmeister","Male / Male","Car-Free",1
"50",50,"2:21:49","SHEroes",247,"Barbara Willson / Daphne Brockington","Female / Female","Competitive Women",2
"51",51,"2:21:58","Neiner Neiner Weiner",248,"Brady Gustafson / Lucas Holliday","Male / Male","Competitive Open",20
"52",52,"2:22:01","Allegiant Air",323,"Mark Miller / Brendan Smith","Male / Male","Corporate",5
"53",53,"2:22:42","Winers and Whiners",33,"Dave McCarty / Mark Smith","Male / Male","Recreational Open",6
"54",54,"2:23:12","8 Drunken Pirates and an adjunct Harle",211,"Scott Paglia / James Bochsler","Male / Male","Masters",3
"55",55,"2:24:13","Kulshan CrossFit",347,"adam Cleveland / Tyler Irwin","Male / Male","Whatcom County Mixed",3
"56",56,"2:24:36","Half Fast",240,"bubba smith / Daryl McDonald","Male / Male","Competitive Open",21
"57",57,"2:24:40","Desolation Angels",86,"Saul Weisberg / John Horner","Male / Male","Competitive Open",22
"58",57,"2:24:40","Nuu Muu Mountain Mamas",181,"Adrienne Hegedus / Tana Kaiser","Female / Female","Competitive Women",3
"59",59,"2:24:58","Dukes of Haphazard",309,"James Honnoll / Chris Jacobs","Male / Male","Recreational Open",7
"60",60,"2:25:19","BestoftheNW.org",205,"Gene Hogan / Andrew kracht","Male / Male","Competitive Open",23
