"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"0:41:30","Aeromech / Sensible.Technology",268,"Sean Rice","Male","Competitive Open",1
"2",2,"0:43:12","Boundary Bay Brewery MEN'S",242,"Dorian Wolter","Male","Competitive Open",2
"3",3,"0:45:50","www.okanagantrestlestour.com",148,"David Jacobson","Male","Competitive Open",3
"4",4,"0:46:14","BEAVERS TREE SERVICE",232,"Brandon Nelson","Male","Whatcom County Open",1
"5",5,"0:47:14","Klicks Running & Walking",185,"Kirk Christensen","Male","Whatcom County Open",2
"6",6,"0:47:36","Fairhaven Bicycle",160,"erik Wermus","Male","Whatcom County Open",3
"7",6,"0:47:36","Inn at Lynden",132,"James Klein","Male","Whatcom County Open",3
"8",8,"0:48:32","Bank Of The Pacific",285,"John Mooney","Male","Competitive Open",4
"9",9,"0:48:50","Rudy's Pizzeria/Up&Up",206,"Steve Scoggins","Male","Whatcom County Mixed",1
"10",10,"0:49:00","Boomer's Drive-In",121,"Donald Kiesling","Male","Competitive Open",5
"11",11,"0:49:14","BTRC Trail Babes",151,"Kevin Olney","Male","Competitive Open",6
"12",12,"0:49:18","Polish Force NorthWest",156,"jan lupinski","Male","Competitive Open",7
"13",13,"0:49:36","Stupendous Men",266,"Jeff Hilburn","Male","Competitive Open",8
"14",14,"0:49:56","Grub's Pain Parade",191,"Jeff Maloney","Male","Competitive Open",9
"15",15,"0:51:22","Archer Ale House",227,"Peter Marcus","Male","Masters",1
"16",16,"0:51:33","Prince George Express",3,"Hugh Fisher","Male","Competitive Open",10
"17",17,"0:51:46","Kulshan Cycles",195,"Heather Nelson","Female","Whatcom County Women",1
"18",18,"0:51:59","Boomer's Drive-In Mixed",122,"Nicholas Cryder","Male","Competitive Mixed",1
"19",19,"0:53:10","InHealth Seattle",37,"John DePalma","Male","Competitive Open",11
"20",20,"0:53:26","Boundary Bay Brewery WOMEN's",243,"Tracy Landboe","Female","Competitive Women",1
"21",21,"0:53:29","InHealth Veterans",117,"Larry Bussinger","Male","Veterans",1
"22",22,"0:53:33","Nooksackulous p/b Utivity.com",31,"Nick Cooksey","Male","Competitive Open",12
"23",23,"0:54:33","OK, THIS IS THE LAST TIME!!",322,"Clement Paul","Male","Competitive Open",13
"24",24,"0:55:16","The Greatest American Heroes",81,"Tom Swetish","Male","Recreational Open",1
"25",25,"0:55:24","Sound Source",174,"Ken Katz","Male","Recreational Open",2
"26",26,"0:55:52","#calmerthanyouare",259,"Eric Grossman","Male","Competitive Mixed",2
"27",27,"0:56:20","Fairhaven Runners",350,"marc Fuhrmeister","Male","Whatcom County Open",5
"28",28,"0:56:24","Bank of The Pacific",46,"Marc Whitlock","Male","Competitive Open",14
"29",29,"0:56:53","Darwin's Bulldogs",272,"John Rybczyk","Male","Masters",2
"30",30,"0:57:32","Peoples Bank",183,"Larry Goolsby","Male","Veterans",2
"31",31,"0:58:24","Half Fast",240,"kristian tollefson","Male","Competitive Open",15
"32",32,"0:58:26","B'hams Bodacious Beerbellies",189,"Mark Daniels","Male","Competitive Open",16
"33",33,"0:58:29","The Unorthodocs",41,"Jim Nosella","Male","Recreational Open",3
"34",34,"1:00:13","VanDammage",295,"Michael Beckman","Male","Competitive Open",17
"35",35,"1:00:43","Chooching Train",252,"Jeff Hegedus","Male","Whatcom County Open",6
"36",36,"1:00:57","Kicked In The Nooksack",172,"Lance ""Tiger Man"" Romo","Male","Whatcom County Open",7
"37",37,"1:01:07","Mt. Baker Ski Patrol",337,"Kim Cantrell","Male","Corporate",1
"38",38,"1:01:23","Aven Construction",257,"Rick Lingbloom","Male","Whatcom County Mixed",2
"39",39,"1:01:28","Exxel Pacific",11,"Sean Stimac","Male","Corporate",2
"40",40,"1:01:41","Humana robur",261,"Abe Lloyd","Male","Car-Free",1
"41",41,"1:01:47","Okanagan Express",21,"Don Mulhall","Male","Masters",3
"42",42,"1:01:57","Whatcom Seven Firefighters",176,"Paul Crivell","Male","Corporate",3
"43",43,"1:02:23","Evolve",296,"Howard Wright","Male","Whatcom County Mixed",3
"44",44,"1:02:33","Peoples Bank WHJ",184,"Tim Niemier","Male","Veterans",3
"45",45,"1:02:46","Advanced Sports Chiropractic",245,"Chris Queitzsch","Male","Recreational Open",4
"46",46,"1:03:41","Bellingham Firefighters",22,"Jason Sims","Male","Corporate",4
"47",47,"1:04:09","Fletcher's Friends",47,"Matt Nelson","Male","Whatcom County Open",8
"48",48,"1:04:12","Jack's Bicycle Center",18,"Vanessa Haycock","Female","Competitive Women",2
"49",49,"1:05:02","Dukes of Haphazard",309,"Brian Smart","Male","Recreational Open",5
"50",50,"1:05:18","Kulshan CrossFit",347,"Megan Gebhardt","Female","Whatcom County Mixed",4
"51",51,"1:06:21","BFF's (Barlean's Flax Fanatics)",51,"Roger Lamb","Male","Competitive Open",18
"52",52,"1:06:36","8 Drunken Pirates and an adjunct Harle",211,"Rob Campbell","Male","Masters",4
"53",53,"1:07:10","Kevin LaFleur Memorial Team",288,"Kai Ottesen","Male","Competitive Open",19
"54",54,"1:07:25","Kids on [Lactic] Acid",204,"Brent Couvrette","Male","Competitive Open",20
"55",55,"1:07:49","Half and Half",137,"Victor Okunev","Male","Competitive Open",21
"56",56,"1:07:55","All Spawned Out and Headed For the Bay",30,"Marlin Hendricks","Male","Competitive Open",22
"57",57,"1:08:04","RuBBer BaBy BuGGy BumPers!",342,"Mike Vercammen","Male","Whatcom County Open",9
"58",58,"1:08:14","Brooks Manufacturing Co.",23,"Kyle Carrick","Male","Competitive Open",23
"59",59,"1:08:18","Fanatik's Last Flash- We're over-y rated",192,"Elana Ecker","Female","Veterans",4
"60",60,"1:08:28","Chuckanut Brewery",40,"Bryan Weimer","Male","Competitive Open",24
"61",61,"1:08:49","Where's Bob",324,"Henri Hardman","Male","Family",1
"62",62,"1:09:02","Monkeywrench Gang",6,"Hugh Klinedinst","Male","Competitive Open",25
"63",63,"1:09:12","Neiner Neiner Weiner",248,"Mark Snyder","Male","Competitive Open",26
"64",64,"1:09:45","Bill Murray is my Spirit Animal (1)",8,"Patrick Hodder","Male","Recreational Mixed",1
"65",65,"1:10:31","BestoftheNW.org",205,"Greg Gilda","Male","Competitive Open",27
"66",66,"1:10:37","Desolation Angels",86,"Byron Ricks","Male","Competitive Open",28
"67",66,"1:10:37","Mills Electric Shockers",163,"Dan Stimac","Male","Corporate",5
"68",68,"1:10:39","Moxie",26,"Joe Gardner","Male","Recreational Open",6
"69",69,"1:10:40","WompMobile",254,"Jerimiah Welch","Male","Car-Free",2
"70",70,"1:10:46","Nomads",287,"Brent Obst","Male","Competitive Open",29
"71",71,"1:10:47","The Full Goblins",340,"Drew Harrison","Male","Recreational Open",7
"72",72,"1:10:51","Peoples Bank Team 2",149,"Chris Hobson","Male","Recreational Open",8
"73",73,"1:11:22","Eclectica",65,"Kevin Bowman","Male","Recreational Open",9
"74",74,"1:11:40","The Barelies",290,"Dylan Albrecht","Male","Recreational Open",10
"75",75,"1:11:43","Birch Bay Dermatology",25,"Dan Hund","Male","Recreational Open",11
"76",76,"1:11:47","Mema's Road Trip",146,"Jim Sands","Male","Recreational Open",12
"77",77,"1:12:04","NWIC Eagles",107,"David Oreiro","Male","Recreational Open",13
"78",78,"1:12:23","Hard Core",207,"Gerardo Andaluz","Male","Whatcom County Mixed",5
"79",79,"1:12:24","Mostly Old Friends",326,"Tom Halsted","Male","Car-Free",3
"80",79,"1:12:24","City Haul",250,"Ryan Nelson","Male","Competitive Open",30
"81",81,"1:12:43","BC Skri to Sea",76,"Wayne Halabourda","Male","Recreational Mixed",2
"82",82,"1:12:44","Aunt Janies Road Trip",244,"Ted Scherrer","Male","Family",2
"83",83,"1:12:49","Oli's Angels",218,"Matt Bolte","Male","Recreational Mixed",3
"84",84,"1:12:52","Everett Firefighters",279,"brian hughes","Male","Corporate",6
