"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"0:21:15","Fairhaven Runners",350,"Isaac Griffith","Male","Whatcom County Open",1
"2",2,"0:21:41","Aging Hypengyophobes",344,"Conner Johnsen","Male","Whatcom County Open",2
"3",3,"0:22:00","Klicks Running & Walking",185,"William Jones","Male","Whatcom County Open",3
"4",4,"0:22:04","BEAVERS TREE SERVICE",232,"Brent Molsberry","Male","Whatcom County Open",4
"5",5,"0:22:11","InHealth Seattle",37,"John Ricardi","Male","Competitive Open",1
"6",6,"0:23:13","Bank Of The Pacific",285,"Michael Lynes","Male","Competitive Open",2
"7",7,"0:23:31","Aeromech / Sensible.Technology",268,"Trey Parry","Male","Competitive Open",3
"8",8,"0:23:37","www.okanagantrestlestour.com",148,"Hendrik Kok","Male","Competitive Open",4
"9",9,"0:23:59","Boomer's Drive-In",121,"Michael Sinnott","Male","Competitive Open",5
"10",10,"0:24:15","The Unorthodocs",41,"Josh Vander Wiele","Male","Recreational Open",1
"11",11,"0:24:18","B'hams Bodacious Beerbellies",189,"Logan Senrud","Male","Competitive Open",6
"12",12,"0:24:22","Moreno Dental",80,"North Bennett","Male","Whatcom County Open",5
"13",12,"0:24:22","SpandeXXXXXXX",16,"Adam Gunn","Male","Competitive Mixed",1
"14",14,"0:24:37","SHEroes",247,"Maria Dalzot","Female","Competitive Women",1
"15",15,"0:25:09","Okanagan Express",21,"Tom Evans","Male","Masters",1
"16",16,"0:25:25","Ski to Sea Sissies",201,"Kikkan Randall","Female","Competitive Women",2
"17",16,"0:25:25","Fletcher's Friends",47,"Aaron Poh","Male","Whatcom County Open",6
"18",18,"0:25:29","Neiner Neiner Weiner",248,"Erik Anderson","Male","Competitive Open",7
"19",19,"0:25:48","Jupiter Mining Corp",129,"Peteris Ledins","Male","Competitive Open",8
"20",20,"0:25:58","Brooks Manufacturing Co.",23,"Patrick McBride","Male","Competitive Open",9
"21",21,"0:26:07","Banana Hammocks",110,"Chris Fields","Male","Competitive Open",10
"22",22,"0:26:08","Fairhaven Bicycle",160,"Joseph Sielen","Male","Whatcom County Open",7
"23",23,"0:26:11","REsources REseize the Day (aka Car Pay Die'm)",319,"Keith Lemay","Male","Car-Free",1
"24",24,"0:26:12","Nooksackulous p/b Utivity.com",31,"Ryan Sutley","Male","Competitive Open",11
"25",24,"0:26:12","Amatuer Hour",346,"Kevin Bailey","Male","Recreational Open",2
"26",26,"0:26:14","Kulshan Cycles",195,"Amber Morrison","Female","Whatcom County Women",1
"27",27,"0:26:23","Boomer's Drive-In Mixed",122,"Mary Rose","Female","Competitive Mixed",2
"28",28,"0:26:42","Half Fast",240,"Brian Morrison","Male","Competitive Open",12
"29",29,"0:26:44","nightmare sandwich",306,"James Hayes","Male","Whatcom County Open",8
"30",30,"0:26:46","Boundary Bay Brewery MEN'S",242,"Connor Whan","Male","Competitive Open",13
"31",31,"0:26:49","RuBBer BaBy BuGGy BumPers!",342,"Brett O'Brien","Male","Whatcom County Open",9
"32",32,"0:26:56","Team Jake",339,"Mitch Lee","Male","Recreational Open",3
"33",33,"0:26:57","Darwin's Bulldogs",272,"Chad Norman","Male","Masters",2
"34",34,"0:27:10","Tight Genes",312,"Trevor Veltkamp","Male","Family",1
"35",34,"0:27:10","Inn at Lynden",132,"Justin May","Male","Whatcom County Open",10
"36",36,"0:27:13","Kicked In The Nooksack",172,"Dave Bushnell","Male","Whatcom County Open",11
"37",37,"0:27:16","Boundary Bay Brewery WOMEN's",243,"Sabrina Grecu","Female","Competitive Women",3
"38",38,"0:27:17","Sehomies",20,"GUNNER HOFFMAN","Male","High School",1
"39",39,"0:27:19","Big Al's Sausage Brigade",158,"Bradley Markle","Male","Recreational Open",4
"40",40,"0:27:20","InHealth Veterans",117,"Kevin Rindal","Male","Veterans",1
"41",41,"0:27:21","The Greatest American Heroes",81,"Andy Schmidt","Male","Recreational Open",5
"42",42,"0:27:23","The Barelies",290,"Colin Goggin","Male","Recreational Open",6
"43",43,"0:27:24","Where's My Free Car?",180,"Nick Roth","Male","Car-Free",2
"44",44,"0:27:30","Zombie Llamas",88,"Shannon Dickson","Female","Recreational Open",7
"45",45,"0:27:31","Buddhapets",73,"Mike Hinckley","Male","Recreational Mixed",1
"46",46,"0:27:33","CorePhysio",215,"Kathleen Harri","Female","Whatcom County Women",2
"47",47,"0:27:37","Upski",265,"John Berude","Male","Recreational Open",8
"48",48,"0:27:39","EMTG",236,"Sean Hayes","Male","Corporate",1
"49",49,"0:27:58","Howard's Heroes",61,"Gregory Standerfer","Male","Recreational Open",9
"50",49,"0:27:58","Turn n Burn",194,"Andy Basabe","Male","Whatcom County Mixed",1
"51",51,"0:28:02","Who's the Boss?!",68,"Arlen Plaister","Male","Recreational Open",10
"52",52,"0:28:10","Team Bramble Berry Inc!",230,"George Howard","Male","Recreational Open",11
"53",53,"0:28:18","Prince George Express",3,"Donald Williams","Male","Competitive Open",14
"54",54,"0:28:19","Monkeywrench Gang",6,"Chris Knudsen","Male","Competitive Open",15
"55",55,"0:28:22","Peoples Bank Team 2",149,"Brian Lenz","Male","Recreational Open",12
"56",56,"0:28:24","Mr. Cauchy and Crew",66,"Jake Clemens","Male","Recreational Mixed",2
"57",57,"0:28:28","Rudy's Pizzeria/Up&Up",206,"Brennen Kaemingk","Male","Whatcom County Mixed",2
"58",58,"0:28:30","Surfrider",329,"trey culbertson","Male","Car-Free",3
"59",59,"0:28:31","MDS Men",302,"Benjamin Drum","Male","Recreational Open",13
"60",59,"0:28:31","Mills Electric Shockers",163,"Adam McAbee","Male","Corporate",2
"61",61,"0:28:34","Diminishing Returns",173,"Kali Klotz-Brooks","Female","Whatcom County Mixed",3
"62",62,"0:28:35","First Congregational Calorie Burners",178,"Mark Schofield","Male","Recreational Open",14
"63",62,"0:28:35","Advanced Sports Chiropractic",245,"Wyeth Larson","Male","Recreational Open",14
"64",64,"0:28:36","VanDammage",295,"Andreas Unterschuetz","Male","Competitive Open",16
"65",64,"0:28:36","RAM Construction",190,"Blaine Horner","Male","Competitive Open",16
"66",66,"0:28:37","Dangerous Water$",297,"Kayla Boyes","Female","Recreational Mixed",3
"67",67,"0:28:39","Mighty Morphin Power Racers",138,"Jason Matta","Male","Recreational Open",16
"68",68,"0:28:47","Moose on the Loose",71,"Hayden Jenkins","Male","High School",2
"69",69,"0:28:48","Whatcom Seven Firefighters",176,"Josh Devenere","Male","Corporate",3
"70",70,"0:28:54","Desolation Angels",86,"Anthony Chapin","Male","Competitive Open",18
"71",70,"0:28:54","Praying For A Miracle",50,"Jeremy Cushman","Male","Recreational Open",17
"72",72,"0:28:56","60% of the Time We Win Every Time",318,"Todd Rignel","Male","Recreational Open",18
"73",73,"0:28:57","Zoope-a-Zoope Troupe",168,"Jon Wiley","Male","Recreational Mixed",4
"74",74,"0:29:01","Kevin LaFleur Memorial Team",288,"Brennan Van Loo","Male","Competitive Open",19
"75",75,"0:29:05","Team Janicki Infusers",217,"Michael Hilliard","Male","Recreational Open",19
"76",76,"0:29:08","Merica",330,"gReG cArLsOn","Male","Recreational Open",20
"77",77,"0:29:23","BTRC Destination Masochists",152,"Jeremy Vanderpool","Male","Recreational Open",21
"78",77,"0:29:23","WWS's Screaming Sheagles",229,"Gabrielle Beaudin","Female","Recreational Women",1
"79",79,"0:29:32","Surviving the Elements",311,"Kris Shimkus","Male","Competitive Open",20
"80",79,"0:29:32","BFF's (Barlean's Flax Fanatics)",51,"Sean Foster","Male","Competitive Open",20
"81",81,"0:29:33","Bellingham Firefighters",22,"Brian Jones","Male","Corporate",4
"82",82,"0:29:37","Pen Island Thrusters 2",321,"Benjamin Sowers","Male","Whatcom County Open",12
"83",82,"0:29:37","Polish Force NorthWest",156,"Bartlomiej Knapp","Male","Competitive Open",22
"84",84,"0:29:40","Stupendous Men",266,"Brandon White","Male","Competitive Open",23
"85",85,"0:29:41","Aven Construction",257,"Mikhaila Thornton","Female","Whatcom County Mixed",4
"86",85,"0:29:41","Turn Down for Whatcom",111,"Hugh Bitzer","Male","Recreational Mixed",5
"87",87,"0:29:43","Safety Third",169,"Kai Steele","Male","Recreational Mixed",6
"88",88,"0:29:46","Missionary Position",75,"Kari Paustian","Female","Recreational Open",22
"89",89,"0:29:48","Wreckers",238,"Lincoln Farabee","Male","Whatcom County Open",13
"90",89,"0:29:48","Bottom of the Barrel",119,"Sean Kaylor","Male","Corporate",5
"91",91,"0:29:49","Stoked Spokes",125,"Harold Wershow","Male","Car-Free",4
"92",92,"0:29:51","BC Skri to Sea",76,"Susan Reynolds","Female","Recreational Mixed",7
"93",93,"0:29:54","Aunt Janies Road Trip",244,"Peter Scherrer","Male","Family",2
"94",93,"0:29:54","Checkmate Pawn Loaners",282,"Judah Bergeron","Male","Recreational Open",23
"95",95,"0:29:59","Made in the Methow - Mazama Store",263,"Ella Hall","Female","High School",3
"96",96,"0:30:05","Archer Ale House",227,"Vern Latta","Male","Masters",3
"97",97,"0:30:06","Chuckanut Brewery",40,"Conor Long","Male","Competitive Open",24
"98",98,"0:30:11","Alpha Dogs",108,"Julie Kulp","Female","Corporate",6
"99",99,"0:30:14","Terrapin Station",345,"Todd Coady","Male","Recreational Open",24
"100",99,"0:30:14","Timber Tamers",70,"Brian Bailey","Male","Recreational Open",24
"101",101,"0:30:15","We Have Notes From Our Parents",214,"Jonah Short-Miller","Male","High School",4
"102",102,"0:30:16","Ready, Willing, and Mostly Able",164,"Tanya Belrose","Female","Recreational Mixed",8
"103",103,"0:30:21","my safe word will be WHiskey",15,"Mat Johnson","Male","Recreational Open",26
"104",104,"0:30:22","Allegiant Air",323,"Kevin Miles","Male","Corporate",7
"105",105,"0:30:29","Bank of The Pacific",46,"Tony Wiederkehr","Male","Competitive Open",25
"106",106,"0:30:31","Favinger Plumbing",91,"Sam Whittle","Male","Competitive Open",26
"107",107,"0:30:37","Faithlife",60,"Jonathan Heemstra","Male","Corporate",8
"108",107,"0:30:37","Nooksack Tea Party",48,"Tore Nelsen","Male","Recreational Open",27
"109",109,"0:30:41","ch2m the Knack",2,"Alex Caelles","Male","Corporate",9
"110",110,"0:30:42","Team Deinonychus",209,"Peter Kobylarz","Male","Recreational Open",28
"111",110,"0:30:42","Equipe Sousa Mendes/Team Sousa Mendes",143,"Gerald Mendes","Male","Recreational Open",28
