X,Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
466793,Kaden Orr,M,SBD,Single-ply,NA,,,Boys,73.12,74.8,NA,NA,NA,NA,188.24,NA,NA,NA,NA,149.69,NA,NA,NA,NA,206.38,544.31,6,396.99,394.89,381.98,67.98,Yes,,,THSPA,,2022-03-05,USA,TX,Malakoff,Boys Region 3 Division 3,Yes
821437,Tim Chrosniak,M,SBD,Single-ply,NA,20-23,19-23,Open,100,100,NA,NA,NA,NA,331.12,NA,NA,NA,NA,176.9,NA,NA,NA,NA,331.12,839.15,2,516.51,510.7,487.77,87.75,,,,USPF,IPF,1985-04-13,USA,FL,Tampa,Region IV Championships,Yes
155283,Carrillo Martín De La Iglesia,M,SBD,Raw,27.5,24-34,24-39,Open,90.1,93,190,200,210,NA,210,-135,135,-137.5,NA,135,235,250,-260,NA,250,595,3,384.51,379.63,363.82,79.06,Yes,,,AEP,IPF,2024-10-05,Spain,,Pontevedra,I Campeonato Caldas De Reis - Gim Vital,Yes
905839,荒巻 勇人,M,B,Single-ply,40,40-44,40-49,Open,73.85,74,NA,NA,NA,NA,NA,-165,165,182.5,NA,182.5,NA,NA,NA,NA,NA,182.5,4,132.24,131.46,127.11,71.19,Yes,,,JPA,IPF,2018-01-27,Japan,,,Japanese Bench Press Championships,Yes
296902,Faraj Abdulayev,M,SBD,Wraps,23,20-23,,Juniors 20-23,71,75,190,-200,-200,NA,190,120,-125,125,NA,125,210,220,-225,NA,220,535,1,397.97,396.64,384.15,80.25,,Azerbaijan,,GPA,GPA,2019-05-03,Turkey,,Istanbul,European Championships,Yes
557725,Maksim Us,M,B,Raw,28.5,24-34,24-39,Open,57.3,60,NA,NA,NA,NA,NA,50,55,-57.5,NA,55,NA,NA,NA,NA,NA,55,2,48.25,48.97,47.95,33.73,,Ukraine,,UPC,UPC,2017-12-18,Ukraine,,Chernigov,North Cup,Yes
547846,M. Provost,M,SBD,Single-ply,NA,,,Open,110,110,NA,NA,NA,NA,254.01,NA,NA,NA,NA,149.69,NA,NA,NA,NA,254.01,657.71,3,389.54,387.06,369.93,65.86,,,,USPF,IPF,1982-03-28,USA,NH,Berlin,New Hampshire State,Yes
90579,Artyom Daveyan,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,44.54,48,NA,NA,NA,NA,90,NA,NA,NA,NA,57.5,NA,NA,NA,NA,110,257.5,1,288.95,300.59,298.11,49.57,Yes,,,FPR,IPF,2021-04-02,Russia,IRK,Irkutsk,Irkutsk Juniors & Sub-Juniors Classic Powerlifting Championships,Yes
54737,Anastasiya Butenko,F,B,Raw,18.5,18-19,19-23,Juniors,56.44,57,NA,NA,NA,NA,NA,65,70,75,NA,75,NA,NA,NA,NA,NA,75,1,86.49,87.71,77.57,67.18,Yes,Kazakhstan,,IPF,IPF,2022-05-21,Kazakhstan,,Almaty,World Bench Press Championships,Yes
630688,Natalie Cotton,F,SBD,Unlimited,NA,,,Girls,64.14,67.3,NA,NA,NA,NA,102.06,NA,NA,NA,NA,52.16,NA,NA,NA,NA,102.06,256.28,6,272.66,271.54,239.72,45.8,Yes,,,THSWPA,,2022-02-05,USA,TX,Conroe Ninth Grade Campus,Conroe Invitational,Yes
868040,Volodymyr Zatvarskyy,M,B,Raw,28.5,24-34,24-39,O,99.4,100,NA,NA,NA,NA,NA,157.5,-162.5,-162.5,NA,157.5,NA,NA,NA,NA,NA,157.5,6,97.2,96.09,91.78,72.36,Yes,Ukraine,,UDFPF,WDFPF,2009-05-02,Ukraine,,Radivilov,Ukrainian Single Event Championships,Yes
507805,Kyle Urbanousky,M,SBD,Single-ply,NA,,,Boys,81.56,82.1,NA,NA,NA,NA,138.35,NA,NA,NA,NA,79.38,NA,NA,NA,NA,145.15,362.87,12,247.42,244.78,235.65,42.34,Yes,,,THSPA,,2015-01-24,USA,TX,GEORGETOWN HIGH SCHOOL,GEORGETOWN,Yes
528283,Lima Lara Aparecida De,F,B,Raw,NA,,,Group A,36.97,41,NA,NA,NA,NA,NA,62,65,-70,NA,65,NA,NA,NA,NA,NA,65,2,96.51,101.11,93.41,99.64,Yes,Brazil,,WPPO,,2018-05-25,France,,Berck-Sur-Mer,European Open Championships,Yes
872285,Wayde Chan,M,SBD,Raw,NA,,,Sub-Juniors,92.01,93,-175,195,-207.5,NA,195,-95,102.5,-107.5,NA,102.5,200,220,232.5,NA,232.5,530,2,338.97,334.66,320.44,69.7,Yes,Canada,BC,CPU,IPF,2021-11-13,Canada,BC,Richmond,Western Canadians,Yes
413014,Jerome Bailey,M,SBD,Multi-ply,NA,,,Open,100,100,-367.5,-367.5,367.5,NA,367.5,197.5,-207.5,-207.5,NA,197.5,292.5,320,-327.5,NA,320,885,5,544.73,538.6,514.42,92.55,,,,APF,WPC,1997-06-21,USA,AL,Georgia,Senior Nationals,Yes
558245,Malachi Vaifale,M,SBD,Raw,16,16-17,14-18,Sub-Juniors,78.1,83,120,130,145,NA,145,70,77.5,-82.5,NA,77.5,150,162.5,175,NA,175,397.5,3,278.07,275.6,265.83,56.76,Yes,,,NZPF,IPF,2021-06-11,New Zealand,AKL,Auckland,North Island Championships,Yes
618589,Mishobi Johnson,M,SBD,Single-ply,NA,,,Boys,125.65,124.7+,NA,NA,NA,NA,226.8,NA,NA,NA,NA,129.27,NA,NA,NA,NA,226.8,582.87,2,329.81,331.8,317.36,55.37,Yes,,,THSPA,,2010-01-28,USA,TX,Lufkin Texas,Lufkin Invitational Powerlifting Meet,Yes
504583,Krzysztof Paierczak,M,SBD,Raw,NA,,,Seniorzy,100.5,105,200,212.5,220,NA,220,125,135,142.5,NA,142.5,210,230,245,NA,245,607.5,6,373.12,368.99,352.4,76.56,Yes,Poland,,PZKFiTS,IPF,2014-03-28,Poland,,Minsk Mazowiecki,Polish Classic Powerlifting Championships,Yes
479316,Kayden Mathews,M,SBD,Single-ply,NA,,,Boys,97.79,99.7,NA,NA,NA,NA,195.04,NA,NA,NA,NA,136.08,NA,NA,NA,NA,233.6,564.72,1,351.03,346.85,331.44,59.7,Yes,,,THSPA,,2021-02-27,USA,TX,Jacksboro MS,Jacksboro LQM,Yes
391633,Jamie Cheshire,M,SBD,Raw,24,24-34,24-39,MR-O,104.45,105,-225,-232.5,232.5,NA,232.5,145,155,160,NA,160,230,250,260,NA,260,652.5,7,394.36,390.63,373,80.76,Yes,England,NM,EPA,IPF,2024-12-14,England,SW,Cheltenham,ST Christmas Classic,Yes
603711,Michael Pullins,M,D,Single-ply,NA,,,Open,125,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.82,260.82,2,147.82,148.63,142.23,NA,,USA,,WPA,,1996-03-16,Canada,QC,Sherbrooke,World Championships,Yes
422820,Joaquin Palacious,M,SBD,Single-ply,NA,,,Boys,54.79,55.7,NA,NA,NA,NA,122.47,NA,NA,NA,NA,61.23,NA,NA,NA,NA,129.27,312.98,7,285.64,291.14,285.82,48.34,Yes,,,THSPA,,2013-02-16,USA,TX,Iowa Park,Mean Green Invitational Powerlifting Meet,Yes
178282,Cian Caplis,M,SBD,Raw,16,16-17,14-18,M_TR_2_AIPO,66.5,67.5,135,145,-155,NA,145,70,75,80,NA,80,150,160,170,NA,170,395,1,307.77,308.24,299.42,61.33,Yes,Ireland,,IrishPO,WPC,2022-12-04,Ireland,,Limerick,National Charity Championships,Yes
285600,Esteban Ubario,M,SBD,Raw,29,24-34,24-39,Open,73.1,75,157.5,-170,-170,NA,157.5,97.5,-102.5,-102.5,NA,97.5,200,215,-220,NA,215,470,2,342.85,341.05,329.9,69.44,Yes,USA,CA,USPA,IPL,2021-06-19,USA,CA,Long Beach,Drug Tested Metroflex Classic,Yes
155721,Carson Whitworth,M,SBD,Unlimited,NA,,,Boys,91.26,99.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DQ,NA,NA,NA,NA,Yes,,,THSPA,,2023-01-21,USA,TX,Quitman,Quitman Tri-Meet,Yes
202051,Daleon Dee,M,SBD,Single-ply,NA,,,Boys,74.84,74.8,NA,NA,NA,NA,158.76,NA,NA,NA,NA,92.99,NA,NA,NA,NA,176.9,428.64,3,307.94,305.89,295.59,52.74,Yes,,,THSPA,,2020-02-19,USA,TX,South Hills,South Hills Meet,Yes
433144,John Winnard Warren,M,SBD,Raw,NA,75-79,70-999,Masters 75-79,80.3,85,58,63,67,NA,67,80,-87,-87,NA,80,175,185,-193,NA,185,332,1,228.43,226.12,217.84,46.74,Yes,,,WP-NZ,WP,2019-07-26,New Zealand,CAN,Christchurch,National Championships,Yes
151915,Carl Kassebaum,M,SBD,Raw,74,70-74,70-999,M_MR_7_APF,66.1,67.5,52.5,62.5,70,NA,70,40,50,-57.5,NA,50,82.5,95,102.5,NA,102.5,222.5,1,174.14,174.49,169.54,34.66,,,,APF,WPC,2024-02-10,USA,AZ,,Western Warrior Challenge,Yes
473905,Karolilna Mastalerz,F,S,Wraps,16,16-17,14-18,F-T2R,57,60,-85,85,-88,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,97.38,98.63,87.22,NA,,Poland,,GPC-POL,GPC,2024-03-16,Poland,,,XV Poland Champ,Yes
751900,Samuel Victor Botasso de Almeida,M,SBD,Raw,20.5,20-23,19-23,Juniors,91.5,93,170,-180,-180,NA,170,102.5,105,-107.5,NA,105,240,247.5,-260,NA,247.5,522.5,4,335.08,330.82,316.83,68.9,Yes,Brazil,ES,CBLB,IPF,2023-03-01,Brazil,SP,Ribeirão Preto,Campeonato Brasileiro de Powerlifting,Yes
113270,Benoit Humbert,M,B,Multi-ply,NA,20-23,19-23,J,90,90,NA,NA,NA,NA,NA,170,-175,-175,NA,170,NA,NA,NA,NA,NA,170,2,109.92,108.53,104.01,57.35,,France,,GPC,GPC,2009-11-03,France,,Saint-Dizier,World Championships,Yes
439706,Jordan Fitzpatrick,F,SBD,Unlimited,NA,,,Girls,66.22,67.3,NA,NA,NA,NA,65.77,NA,NA,NA,NA,29.48,NA,NA,NA,NA,79.38,174.63,8,182.31,180.72,159.47,30.67,Yes,,,THSWPA,,2024-02-15,USA,TX,East View,East View Girls League 3,Yes
